crossing_id,ntl_500m,ntl_2km,ntl_cv_2km,pop_500m,pop_2km,pop_total_2km,travel_time_min,agri_suit_500m,agri_suit_2km,road_dens_2km,road_count_2km,rwi_2km,rwi_dist_km,dep_ratio_2km
XNG-00001,0,0,0,286.9549142760403,280.97623689065216,3601.3778533935547,28.078264236450195,95.56244659423828,95.47008412679037,0.42865712331520833,2,0.106,0.9864421245496966,0.5543063106268796
XNG-00002,NA,0,0,NA,503.310478982644,2147.7908325195313,13.22913646697998,NA,89.5443359375,0.5732362431239214,6,-0.386,116.47808097536286,0
XNG-00003,0.2605676185339689,0.25058855550984543,1.1832385565455565,1111.11379277867,1131.9196458597746,13528.601013183594,0.6684512495994568,92.73078918457031,92.80093547276088,1.0751079498302896,10,-0.455,33.790955396298244,0
XNG-00004,0,0.014595200576014438,3.1466246517375147,1015.4565052873231,1012.6748867193036,12967.664367675781,3.7775368690490723,93.38861846923828,93.08284708658854,2.216034147066685,34,-0.455,35.129193048601756,0
XNG-00005,0,0.1577048056711585,1.537879391479943,1111.11379277867,1096.5707705311067,13105.980590820313,0.6684512495994568,92.73078918457031,92.91639110020229,1.7297331089321688,18,-0.455,34.253253339457665,0
XNG-00006,0,0.07551926579968683,2.0288474546951227,1104.1155208120529,1064.7404657599498,14543.397705078125,2.3303327560424805,93.09960174560547,93.01048707962036,2.088585514656501,30,-0.455,34.65932676812514,0
XNG-00007,0,0,0,314.80656023774566,303.36621216156084,3625.565933227539,29.00074577331543,89.95576477050781,90.06740733555385,0.800448587834826,7,-0.386,89.77420799389971,0
XNG-00008,0,7.721311333826033e-4,7.671210634126308,538.9858710966417,723.4930311164533,9264.061737060547,4.704050064086914,89.55906677246094,89.716552734375,0.5005971613531716,2,-0.386,98.40381652408635,0
XNG-00009,0,0.010891655918027534,4.596126371642326,383.90012310345827,360.5929722652257,4309.805709838867,19.346498489379883,88.9996337890625,88.73402186802456,0.5407745146732809,4,-0.386,81.2698843628136,0
XNG-00010,NA,0,0,NA,132.96229405940602,453.7872314453125,NA,NA,80.67484474182129,0.32502429314685555,1,-0.455,89.46796406900458,0
XNG-00011,0,0,0,38.75782418907173,38.7454663955829,529.7083358764648,70.5420913696289,93.77210235595703,93.85387372970581,3.3287351636405735,115,-0.998,4.139128967604061,0.22282069812641844
XNG-00012,0,0,0,38.94851789435884,38.9549161218122,466.00354766845703,68.80235290527344,93.62859344482422,93.69857570103237,3.5806440765672964,112,-0.998,2.235307497519484,0.2932596919900656
XNG-00013,0,0,0,352.13900020011585,352.8174878817922,4216.53125,21.507131576538086,90.73912048339844,90.865234375,0.9871765178402463,13,-0.386,93.10124776172034,0
XNG-00014,0,0,0,287.596349671891,298.0694253488931,3566.512664794922,93.39012908935547,94.6902084350586,94.72971888950893,2.512489486330539,131,-0.213,1.92777614138082,0.539542173047079
XNG-00015,0,0.0701710325103767,2.6535325299136487,529.0998793722499,698.1297833273993,9538.001983642578,9.578590393066406,77.4444351196289,77.74633264541626,0.45676960962427066,4,-0.386,66.4929071601528,0
XNG-00016,0,0,0,287.5958582782192,295.6144617639748,3537.145248413086,92.04389953613281,94.75648880004883,94.78996767316546,3.2541700274121657,145,-0.213,1.1322082142573175,0.5154616623102715
XNG-00017,0,0,0,287.596349671891,292.41710341995133,3998.7288970947266,90.95494842529297,94.690460205078125,94.76566791534424,3.215219422900888,145,-0.213,1.3327020816078852,0.4812265719470898
XNG-00018,0,0,0,287.5958582782192,300.5302851318184,3852.818115234375,92.04389953613281,94.8366527557373,94.80341135660807,2.476886916544174,111,-0.213,1.515218356267764,0.4388390297317333
XNG-00019,0,0,0,197.940072672122,189.91601117122346,2592.8499298095703,19.717485427856445,82.32239532470703,82.60633134841919,0.9155820077104727,6,-0.455,81.87041464696439,0
XNG-00020,0,0,0,68.06190890950123,80.21718973177464,958.2790374755859,59.632137298583984,98.99784851074219,99.08271244594029,0.6316855879275065,10,-0.519,48.303925307658446,0
XNG-00021,0,0,0,81.29043479451391,79.9668445127116,955.2926750183105,108.89932250976563,99.45279693603516,99.36400713239398,0.33201909652260453,3,-0.519,46.37995582603342,0
XNG-00022,0,0,0,348.01670870754435,348.5838383746537,4164.608612060547,25.265629529953003,82.15018272399902,81.9595707484654,1.6998344864590267,53,-0.386,120.32523063710464,0
XNG-00023,0,0,0,364.8856829826755,348.5838383746537,4164.608612060547,32.11354446411133,82.12689208984375,81.9595707484654,1.8080138074793282,56,-0.386,120.34521996927735,0
XNG-00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5347165817258857,2,-0.455,103.22400853422067,NA
XNG-00025,0,0,0,380.9404210666973,420.12845546727675,5026.8988037109375,67.98443603515625,94.62274932861328,94.39693232945034,0.6634750324986951,23,0.036,1.4545829763994547,0.6255441301478885
XNG-00026,0,0,0,422.0800873274675,430.26687689633934,4780.4718017578125,66.99354553222656,94.24744415283203,94.18649174616887,0.6051971183649534,6,0.164,0.7697944224592118,0.6804897259464383
XNG-00027,0,0,0,391.24828021372355,362.36974169913145,4329.312103271484,NA,82.87397003173828,82.38014548165458,2.010975865414983,31,-0.386,121.95916513279084,0
XNG-00028,0,0,0,287.5973725801374,303.00437349973384,3884.5203857421875,82.16883087158203,94.84239196777344,94.85587717692057,1.0170994364184265,55,-0.322,2.308505415182661,0.4627350081779924
XNG-00029,2.4512897729873657,0.7257097769400169,1.5405946450231858,1891.9627995220453,1554.8532013056222,21236.684509277344,0.5744283199310303,86.79071807861328,87.55399131774902,0.6326546304073942,10,-0.386,100.05789808121624,0
XNG-00030,0,0,0,315.0738596118679,299.779430027283,3069.3912658691406,26.764415740966797,77.09733009338379,77.60507520039876,0.9209368012321455,6,-0.557,106.38761070256875,0
XNG-00031,0,0,0,179.4298794254266,219.8721990144472,2626.5514068603516,NA,78.95683288574219,78.72230638776507,1.6799958386553067,16,-0.386,124.98062084622451,0
XNG-00032,0,0,0,311.37046124531577,304.0094551493504,2593.912124633789,NA,76.90166473388672,77.47332763671875,0.829672321965092,10,-0.557,105.44332390410452,0
XNG-00033,NA,0,0,NA,234.50968245078545,600.26885986328125,NA,NA,77.02306874593098,0.9477244973462305,6,-0.557,104.01917784770598,0
XNG-00034,0,0,0,172.28313006200514,165.9852281170375,1982.774513244629,52.31973775227865,79.25496673583984,76.40145111083984,0.7218560271443472,8,-0.455,76.95764276898602,0
XNG-00035,0,0,0,142.92072923888878,143.13136630856346,1343.3715744018555,36.100632985432945,84.110992431640625,84.27302967418323,0.696190921402623,4,-0.455,82.10268159353507,0
XNG-00036,0,0,0,83.65183906940698,82.53522270801074,1127.150478363037,48.536155700683594,99.6764144897461,99.54249238967896,1.9366616369765077,52,-0.245,28.532116978663616,0
XNG-00037,0,0,0,274.0960731289661,298.1112977149643,3815.924575805664,34.52500534057617,83.0879135131836,82.88562774658203,1.0734334249591853,18,-0.386,118.631031656752,0
XNG-00038,0,0,0,68.77605023077372,74.92174640952238,895.293098449707,58.15763854980469,99.2720947265625,99.43687547956195,2.362816165092831,59,-0.245,27.163421728101927,0
XNG-00039,0,0,0,383.2900167118736,383.77778226728617,4914.048614501953,38.635498046875,90.77272033691406,90.82555135091145,0.7561104576834886,7,-0.557,68.60107904073487,0
XNG-00040,0,0,0,157.16832215057661,149.57247112152,1020.9585800170898,NA,83.22450256347656,82.70902252197266,0.5731115333659873,2,-0.455,87.00818656944882,0
XNG-00041,0,0,0,173.1220185024831,184.78241362296055,2207.55908203125,18.336545944213867,84.41573333740234,84.58980178833008,0.3947179540183825,2,-0.455,77.39860714383374,0
XNG-00042,0,0,0,202.87472436641738,222.21940037283508,1516.8416900634766,NA,69.32012176513672,69.72261428833008,1.6537789876919027,20,-0.386,133.4149889968828,0
