crossing_id,river_osm_id,river_name,road_osm_id,road_type,is_pedestrian,elev_m,slope_deg,slope_pct,catchment_area_km2,flow_acc_cells,stream_order,mean_precip_mm,flood_Q10,flood_Q50,ntl_500m,ntl_2km,ntl_cv_2km,pop_500m,pop_2km,pop_total_2km,travel_time_min,agri_suit_500m,agri_suit_2km,road_dens_2km,road_count_2km,rwi_2km,rwi_dist_km,dep_ratio_2km,dist_kampala_km,log_ntl_2km,log_pop_2km,log_catchment,log_flood_Q50,log_road_dens,log_travel_time,dist_kampala_km_s,elev_m_s,dep_ratio_clamped,dep_ratio_logit
XNG-00001,756206304,NA,42507045,tertiary,FALSE,1107.5264892578125,2.456391967155717,4.291687843643806,0.1434732723591727,395.974609375,1,1183.7506103515625,3.3327694790736597,5.853892959545085,0,0,0,286.9549142760403,280.97623689065216,3601.3778533935547,28.078264236450195,95.56244659423828,95.47008412679035,0.42865712331520833,2,0.106,0.9864421245496966,0.5543063106268796,200.67062685085105,0,5.6418228010423,0.13407036066942468,1.9248168061062307,0.35673492846027083,3.3699909616283485,-1.3145109397649433,-1.2047576935698707,0.5543063106268796,0.21808552027839695
XNG-00002,460592787,Oued Froha,73324369,secondary,FALSE,2022.8226318359375,4.918659132060617,8.622449312618999,43.497707266429565,120050.1484375,4,1070.485107421875,198.29658805864813,348.30101752521375,NA,0,0,NA,503.310478982644,2147.7908325195313,13.22913646697998,NA,89.5443359375,0.5732362431239214,6,-0.386,116.47808097536286,0,297.8001242865865,0,6.223192108130415,3.795437665742179,5.855934064849522,0.4531347991463579,2.6552917262814946,0.4286895905416793,0.8301255507109766,0.001,-6.906754778648554
XNG-00003,400119430,Oued et Tat,79670099,tertiary,FALSE,1859,2.6365212388884496,4.607606897711316,0.7423081816528271,2048.71044921875,2,1077.7991943359375,10.215860079771522,17.943800725543813,0.2605676185339689,0.25058855550984543,1.1832385565455563,1111.11379277867,1131.9196458597746,13528.601013183594,0.6684512495994568,92.73078918457033,92.80093547276088,1.0751079498302896,10,-0.455,33.790955396298244,0,284.5253700121035,0.22361428490964014,7.032553336941704,0.5552107753278092,2.9414767395132353,0.7300131763440569,0.5118958006820191,0.1904451920644866,0.46591563760246,0.001,-6.906754778648554
XNG-00004,400125200,NA,79670099,tertiary,FALSE,1836.214599609375,4.224344639584076,7.393284628557605,0.1316896915374678,363.452880859375,1,1070.6846923828125,2.87459332846474,5.049122584899637,0,0.01459520057601443,3.1466246517375147,1015.4565052873232,1012.6748867193036,12967.66436767578,3.777536869049072,93.38861846923828,93.08284708658854,2.216034147066685,34,-0.455,35.129193048601756,0,286.3764901187161,0.0144897157785453,6.9213375082029165,0.12371181811860792,1.7999132342359596,1.168148969129345,1.5639251143289021,0.22366757699078926,0.41525921361872675,0.001,-6.906754778648554
XNG-00005,400125201,NA,79670099,tertiary,FALSE,1833.37158203125,2.449428009085877,4.280394782853681,1.547600301184192,4271.25146484375,2,1077.7991943359375,17.46623759236898,30.678835099068873,0,0.1577048056711585,1.537879391479943,1111.11379277867,1096.5707705311067,13105.980590820313,0.6684512495994568,92.73078918457033,92.91639110020228,1.7297331089321688,18,-0.455,34.253253339457665,0,285.17347996228807,0.1464394292714255,7.000854626270003,0.935151857737783,3.4556487954074355,1.0042038421219148,0.5118958006820191,0.2020769377100999,0.4089386266919347,0.001,-6.906754778648554
XNG-00006,400125202,NA,79670099,tertiary,FALSE,1830.385498046875,2.8267408612855647,4.9395231119422025,1.6076196125911049,4436.89990234375,2,1071.9447021484375,17.875227997237428,31.397212432579007,0,0.07551926579968683,2.0288474546951227,1104.1155208120529,1064.7404657599498,14543.397705078123,2.3303327560424805,93.09960174560548,93.01048707962036,2.088585514656501,30,-0.455,34.65932676812514,0,285.742905554205,0.07280358290754584,6.971425109567255,0.9584377793588397,3.47807238306546,1.1277132238574445,1.2030722257394921,0.21229652104992394,0.4022999750215531,0.001,-6.906754778648554
XNG-00007,467543100,NA,90038610,secondary,FALSE,1993.1956787109375,4.393796689370099,7.687463526164784,1.915367726006364,5286.259765625,2,1406.6427001953125,25.59125397843207,44.95014204580173,0,0,0,314.80656023774566,303.36621216156084,3625.565933227539,29.00074577331543,89.95576477050781,90.06740733555385,0.800448587834826,7,-0.386,89.77420799389971,0,278.98088074022917,0,5.718231621671592,1.0699959614196342,3.8275569401092513,0.588035849316896,3.401222240463687,0.09093724757619594,0.7642590101579438,0.001,-6.906754778648554
XNG-00008,467543100,NA,90039244,secondary,FALSE,1992.24169921875,7.615878060806629,13.390687632006268,0.28968493641640713,799.5069580078125,1,1501.0579833984375,6.811378647168644,11.963948229188338,0,7.721311333826033e-4,7.671210634126308,538.9858710966417,723.4930311164533,9264.061737060549,4.704050064086914,89.55906677246094,89.716552734375,0.5005971613531716,2,-0.386,98.40381652408637,0,280.130963846444,7.718331934949452e-4,6.585472142827593,0.25439795320715536,2.562172291842473,0.405863136453153,1.7411764600873119,0.11157799558353361,0.7621381262235136,0.001,-6.906754778648554
XNG-00009,467543100,NA,90041201,secondary,FALSE,1988.1669921875,8.305554969744248,14.62731350551952,23.93964625123686,66071.484375,4,1373.82568359375,158.52183375395882,278.4380535087006,0,0.01089165591802753,4.596126371642326,383.9001231034582,360.5929722652257,4309.805709838867,19.346498489379883,88.9996337890625,88.73402186802456,0.5407745146732809,4,-0.386,81.2698843628136,0,272.58751469296715,0.010832769031659452,5.890519193221928,3.2164587561591897,5.632780634788303,0.432285221603852,3.0129088326798894,-0.02380564081777946,0.7530792515298116,0.001,-6.906754778648554
XNG-00010,459344490,Oued Mina,92367313,primary,FALSE,2229.998291015625,3.4738689979841544,6.073356493960979,0.144909741539697,399.9391479492187,NA,1070.485107421875,3.0820240910035697,5.413467460248361,NA,0,0,NA,132.96229405940602,453.7872314453125,NA,NA,80.67484474182129,0.32502429314685555,1,-0.455,89.46796406900458,0,323.69408619989474,0,4.897558372737615,0.1353258055494757,1.8584000701109005,0.28143079372056856,NA,0.8934131743209912,1.290717765488722,0.001,-6.906754778648554
